recording_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
01d36def5,0.26233738,0.19200146,0.044534674,0.17172116,0.090248216,0.3338865,0.044073618,0.64456826,0.15363853,0.17384975,0.184960866,0.197975826,0.09917774,0.048495126,0.047634948,0.07377674,0.15130474,0.03754892,0.051143188,0.093064726,0.0864201,0.054833746,0.14198858,0.22859904
01fefebcb,0.101918292,0.07135184,0.023000297,0.7513736,0.08278152,0.23001704,0.030962888,0.11831228,0.068088304,0.08057984,0.022683245,0.10348012,0.15457562,0.04256183,0.49553422,0.119172132,0.06309405,0.039493232,0.6100113,0.16023029,0.13451874,0.045310978,0.048223898,0.102115548
0208fec47,0.038077834,0.025658346,0.020236408,0.116557134,0.052692044,0.009843753,0.059061116,0.17770712,0.0527165,0.13569045,0.04590924,0.73505988,0.039125568,0.042738304,0.13097568,0.78471694,0.02425178,0.09925639,0.08073728,0.04258368,0.03579566,0.04677422,0.024435542,0.041521714
0232841d4,0.044438702,0.026961574,0.024001942,0.081221408,0.048559756,0.11952064,0.022519782,0.04603232,0.017083124,0.026581972,0.015275043,0.03376506,0.05158218,0.098896766,0.81903686,0.034724966,0.008844197,0.015235842,0.29279956,0.018222956,0.057683456,0.174679208,0.02976939,0.039111954
02c30604d,0.053501766,0.047622856,0.09275038,0.7367063,0.0423419,0.076597792,0.2228619,0.70076856,0.114400768,0.0964992,0.08442068,0.14033304,0.1146712,0.034513322,0.063249844,0.14141898,0.14563134,0.05900916,0.08401306,0.051623088,0.17770673,0.10180852,0.37195796,0.35973782
02dbcc383,0.078796994,0.077326996,0.067153246,0.37093134,0.043496152,0.1200225,0.021924426,0.061400568,0.022083193,0.031606662,0.026066634,0.034656316,0.859831,0.023631302,0.054662692,0.0350513,0.0399762,0.0585569,0.167320872,0.035395128,0.043944818,0.044158086,0.028448988,0.097763032
0303dee3c,0.040192196,0.34639582,0.036937184,0.1939635,0.0680121,0.030328858,0.048712546,0.183112,0.18001156,0.039900902,0.04858192,0.059470034,0.065747786,0.03955222,0.88018,0.015415889,0.092161,0.032106972,0.049469752,0.029731972,0.029938752,0.070559204,0.102226592,0.16548848
034f46152,0.073228354,0.05041284,0.20795386,0.75850716,0.06490136,0.56326018,0.049071652,0.107510852,0.06668421,0.17244668,0.037217044,0.059627586,0.8415446,0.0465384,0.05385437,0.032466778,0.1046776,0.10265036,0.12904606,0.20988508,0.04254218,0.039926434,0.065532768,0.34992476
037460d90,0.081353604,0.24288582,0.063284552,0.63557406,0.053416204,0.122308766,0.017343664,0.043799168,0.058628428,0.0501934,0.025008214,0.036868804,0.117221426,0.106455112,0.08105309,0.047193408,0.6663323,0.051422972,0.077248574,0.019106918,0.14812728,0.10969746,0.038647628,0.066387516
039395460,0.1190109,0.7066114,0.070613628,0.57456064,0.054090554,0.26377798,0.13351592,0.079277932,0.072101056,0.26152802,0.28988704,0.22322688,0.15057364,0.045798558,0.11851747,0.086812914,0.049887114,0.10685892,0.21827964,0.3413989,0.16634482,0.077814936,0.25122276,0.37640776
039892ae3,0.156482768,0.05909729,0.047813886,0.52648882,0.034777668,0.08665095,0.053106528,0.88370514,0.075735014,0.126725172,0.031003206,0.08022202,0.12247146,0.043093128,0.10090424,0.054100526,0.43497472,0.138513494,0.051465356,0.039850152,0.174754954,0.033687412,0.11014542,0.099679946
03a06a709,0.085805296,0.04744739,0.12617472,0.62420186,0.064362836,0.27285202,0.24860894,0.07613532,0.046211296,0.149689174,0.106898094,0.18581262,0.22386944,0.039397234,0.101039434,0.03673805,0.050745236,0.048899716,0.07800956,0.112720608,0.09889004,0.053101874,0.16697862,0.51389928
03a9a5b2a,0.27027274,0.05465508,0.018699959,0.456002,0.124648572,0.06915794,0.048986012,0.05622656,0.060250986,0.079953856,0.038133634,0.06059019,0.84048234,0.065178006,0.048169106,0.052827084,0.087679792,0.059722752,0.3614692,0.031516612,0.021368074,0.09570793,0.059724904,0.07889446
03d0c7428,0.11932616,0.14325936,0.036976876,0.61075944,0.0529593,0.1610064,0.06826598,0.051333076,0.0242571,0.07424655,0.029735502,0.073666794,0.77291,0.03999489,0.080618096,0.114201308,0.059568446,0.17209998,0.34093414,0.025913016,0.040229974,0.072842074,0.026355824,0.08812381
03f5a4505,0.098966444,0.06277354,0.047618688,0.19374816,0.059002388,0.078653788,0.011726893,0.080555808,0.046164084,0.04930371,0.027277666,0.035366628,0.9795916,0.035098014,0.082389486,0.014754492,0.05599564,0.016031034,0.108519888,0.094029528,0.084487664,0.029034234,0.03439186,0.19958836
03f8931a1,0.036548522,0.026922146,0.025617936,0.32596104,0.054126496,0.08158961,0.059231526,0.83347188,0.031914142,0.037570954,0.086873304,0.7897014,0.0577233,0.038927468,0.101306892,0.11405996,0.29772192,0.14012492,0.047366876,0.187878632,0.06807126,0.030606744,0.018626096,0.07091785
04053cd3e,0.5615496,0.50951642,0.022904412,0.137792254,0.10247153,0.048011822,0.02480158,0.03972509,0.11771189,0.13955679,0.030453068,0.051055884,0.8009474,0.04302665,0.0400315,0.040035328,0.030399012,0.037764746,0.59787612,0.047404274,0.024219431,0.06297504,0.02229335,0.102859926
040d4f0d5,0.049197918,0.02910769,0.024947416,0.127560448,0.13286304,0.108756972,0.039106172,0.05806718,0.045978072,0.35122942,0.02531228,0.073986244,0.07227328,0.043578064,0.826889,0.057171828,0.015969836,0.058917164,0.1980315,0.025389788,0.037206206,0.147192288,0.034041128,0.0458107
042a6c838,0.035469248,0.28039742,0.044227478,0.53379174,0.29929998,0.038659424,0.020512867,0.43778534,0.049875308,0.03450251,0.037157786,0.089225776,0.46820164,0.084565354,0.04505701,0.050959396,0.09212732,0.031993086,0.085189814,0.02177115,0.03699779,0.22405664,0.058760786,0.10958047
044173e0d,0.08332002,0.04976146,0.11528096,0.40385714,0.056219208,0.63695336,0.018715535,0.09795072,0.15662092,0.061389768,0.052073508,0.14052866,0.05246264,0.056789106,0.26332266,0.112077988,0.0806658,0.18066423,0.159711934,0.280738,0.19099782,0.039150494,0.150814188,0.32453194
04496d53a,0.19961536,0.084921194,0.06987574,0.3110796,0.086822676,0.33082644,0.1434125,0.6289992,0.05595154,0.140749168,0.3178337,0.2572776,0.092382128,0.039016244,0.117486072,0.07172547,0.413706,0.14929824,0.068990636,0.087981152,0.137668932,0.06566802,0.39252936,0.2288913
0465bce22,0.05861653,0.058847808,0.041967266,0.19906344,0.08644894,0.2137799,0.038647642,0.072295236,0.018511642,0.058104932,0.023868472,0.051483512,0.06479564,0.030172956,0.89217252,0.085649634,0.025028514,0.035929936,0.20221292,0.0263205,0.078385734,0.095794392,0.020802751,0.01823644
047a7c4bf,0.06547346,0.03016962,0.052779764,0.64826612,0.078536666,0.72886744,0.052924866,0.14209828,0.075758368,0.1031424,0.23728396,0.40985908,0.29884058,0.03983419,0.089768708,0.034395918,0.086367756,0.1031143,0.0541908,0.065176004,0.043915492,0.055599732,0.059506476,0.9351508
048b0a17d,0.069220054,0.066319824,0.05847829,0.6559204,0.051624108,0.282772,0.18582144,0.152681494,0.049833208,0.160290646,0.11960934,0.2066555,0.149079072,0.08471111,0.093449068,0.041026956,0.052821392,0.055896366,0.3967402,0.218228,0.06375352,0.04982862,0.21298326,0.8450828
048b8700d,0.053392888,0.033459788,0.047170582,0.24069552,0.10540669,0.2538098,0.44395614,0.160747528,0.07183733,0.08690753,0.21076308,0.70077242,0.10271951,0.064855724,0.21695144,0.075029952,0.36242004,0.54979158,0.06836459,0.095411766,0.31362434,0.03792305,0.167683232,0.6320137
04997b478,0.05385936,0.38715288,0.040991378,0.578043,0.110184372,0.04902532,0.015809311,0.033596426,0.025202196,0.03908758,0.046638024,0.061214554,0.088325894,0.05307777,0.043798438,0.039749024,0.9922242,0.02707063,0.04357887,0.065434324,0.1042361,0.20955648,0.041175982,0.050684708
04aa83271,0.10389902,0.49582592,0.054113234,0.4767812,0.07245769,0.06566968,0.038019654,0.10518173,0.052362228,0.0754956,0.033487534,0.10320934,0.2329401,0.06469276,0.069907284,0.06590507,0.9580952,0.071484674,0.048877754,0.040058566,0.044649566,0.097515846,0.100829268,0.034027826
04aef0297,0.024941352,0.045332378,0.024637034,0.136095632,0.11508524,0.066213166,0.011219963,0.081529844,0.054568356,0.042862728,0.010813698,0.029052288,0.05783968,0.044202148,0.83748312,0.023996762,0.010611151,0.022301236,0.164895452,0.020171546,0.03020641,0.27265856,0.05324664,0.035414416
04e21ba1b,0.06030075,0.09980596,0.081007164,0.49078098,0.102135,0.20873228,0.121826888,0.092906476,0.074184048,0.09695458,0.160546946,0.22310774,0.096253788,0.063480676,0.21561938,0.15008881,0.37583198,0.17226734,0.15003888,0.1693977,0.11702304,0.07785486,0.18695654,0.2331964
04f07f088,0.081813396,0.1465759,0.09297443,0.5630206,0.09611181,0.10524654,0.043213928,0.082502628,0.12306548,0.094837564,0.032472214,0.059143114,0.18289394,0.106102252,0.041248428,0.04829726,0.02757811,0.040892544,0.071712356,0.013190247,0.043815732,0.5441334,0.09662054,0.034389228
052b35029,0.12545396,0.07948148,0.08636126,0.76169992,0.095161014,0.30109878,0.13317287,0.21712394,0.088713748,0.1619905,0.08931934,0.35069534,0.10369508,0.065334666,0.10033228,0.21645244,0.20133074,0.167165386,0.1893031,0.14645116,0.130438446,0.13214475,0.19829068,0.184828
053f5fe34,0.06216762,0.4396409,0.014179781,0.16029418,0.047553194,0.01620883,0.025400722,0.1270672,0.105519772,0.0994333,0.019579111,0.057975876,0.15527306,0.010740857,0.85511732,0.016677518,0.014061612,0.04058285,0.027678304,0.017659503,0.033309776,0.040313002,0.032262418,0.057281446
059859ca1,0.087361168,0.033619628,0.038226814,0.19874096,0.07811743,0.09579323,0.09508413,0.095698286,0.033697608,0.06195186,0.066413492,0.1432358,0.047369606,0.033347892,0.73341584,0.07341722,0.091566526,0.060042716,0.61379176,0.045697886,0.1638678,0.2292946,0.6328845,0.11579606
05d2c9fbc,0.052358008,0.2289584,0.41695014,0.27183706,0.065734256,0.41827088,0.057944972,0.7113614,0.04761516,0.044002074,0.05487616,0.12544872,0.14287316,0.058202946,0.118637872,0.07018994,0.03304984,0.135232388,0.027536356,0.057807606,0.15519614,0.057304412,0.06352442,0.159719848
06011bbad,0.075434196,0.0609943,0.0423716,0.3484921,0.070751334,0.150312852,0.15069672,0.24987822,0.066317988,0.3937447,0.2635195,0.6958601,0.079297156,0.047951288,0.21006512,0.16642926,0.11915828,0.31640098,0.09301473,0.068378716,0.220488,0.111352,0.21925114,0.39534922
06355ced6,0.03914168,0.0338215,0.059305256,0.082495732,0.038262418,0.23680654,0.065529096,0.047134548,0.05834769,0.069284124,0.18614294,0.24575112,0.05207175,0.03837955,0.059359824,0.053940946,0.74985652,0.20991138,0.06253532,0.074185408,0.088957172,0.016414678,0.11585796,0.100370932
0637cd357,0.14097268,0.07182898,0.104964948,0.40536776,0.072205586,0.807481,0.120906412,0.091875284,0.07319888,0.155701768,0.23290062,0.32756134,0.10605436,0.03101911,0.20661736,0.08523778,0.14083085,0.045166618,0.065803272,0.068174886,0.111787772,0.08181948,0.36868182,0.37681172
06677c2a1,0.05246253,0.018267098,0.015507594,0.40809316,0.10990374,0.13204608,0.016578327,0.05198952,0.8682435,0.0530361,0.019049129,0.034093404,0.8110032,0.036731702,0.06742054,0.024061957,0.030718846,0.033317092,0.1123683,0.027967454,0.016840782,0.2506741,0.044905924,0.042713168
06d3bbdd6,0.078892684,0.131126248,0.025427192,0.45652514,0.11082058,0.029060718,0.018169718,0.055104434,0.25024334,0.053251808,0.016480926,0.018910037,0.83737506,0.086998296,0.011942415,0.025325226,0.018473392,0.016626114,0.46336976,0.013146235,0.01964571,0.1334326,0.02546941,0.085063666
06ee4df67,0.05773128,0.07169442,0.056166292,0.18393456,0.092920756,0.0668073,0.13474662,0.68960456,0.090795696,0.156576372,0.078162944,0.13362118,0.09136708,0.06007694,0.58609666,0.8639762,0.10077715,0.24869414,0.2867461,0.068994188,0.080814528,0.23387256,0.14499098,0.24067042
0724b938e,0.05472146,0.038817698,0.038611824,0.21857992,0.10041606,0.63224974,0.0690695,0.14519398,0.061196626,0.14665322,0.17050935,0.22987214,0.19561518,0.05090952,0.06551258,0.04536339,0.065623606,0.059264832,0.10690462,0.050673836,0.109843648,0.034196258,0.198088348,0.9370748
0728b2d37,0.08032386,0.015586648,0.037298032,0.62382812,0.077417564,0.6290478,0.082544928,0.06730262,0.068254304,0.125676226,0.07446554,0.0903913,0.20184416,0.04477234,0.047954536,0.02365093,0.058973456,0.047671902,0.038147938,0.086156034,0.050923336,0.026009708,0.11010809,0.9688892
0769cc41f,0.060491108,0.060856544,0.027516654,0.24868016,0.03911144,0.046088598,0.00806224,0.028796294,0.052254724,0.10715908,0.01310081,0.032211682,0.093032968,0.31518114,0.048286468,0.013133019,0.9982339,0.048598092,0.059387344,0.050770854,0.02348322,0.07245076,0.017984734,0.042754784
076d267e9,0.059483,0.016137354,0.024385024,0.158430172,0.049402236,0.061533164,0.016251188,0.0352355,0.053734494,0.031699148,0.0201213,0.011001032,0.94748974,0.016871972,0.03719655,0.013568023,0.015118471,0.009505318,0.24496742,0.018248135,0.017644173,0.0816849,0.037867248,0.084067148
07758f213,0.056849086,0.042367482,0.03668936,0.25820394,0.03700307,0.062932652,0.15733546,0.28532768,0.067409432,0.139916372,0.07503402,0.8777118,0.13007014,0.03420387,0.12237578,0.029800818,0.07218544,0.47833876,0.060263144,0.14284824,0.10717554,0.063989746,0.096923488,0.19531629
07d477123,0.14774356,0.033066314,0.03564327,0.70151348,0.0685472,0.19305032,0.026545984,0.097920984,0.67366648,0.046255428,0.035682332,0.087720412,0.56107654,0.021549588,0.086574506,0.088894546,0.048110372,0.071970666,0.32764516,0.093311434,0.05569694,0.092749548,0.053463292,0.146239448
07e8a69a4,0.074970448,0.07182666,0.054257,0.3269342,0.035937542,0.9197483,0.048911152,0.089815008,0.046855468,0.124553108,0.0494774,0.132173,0.078102792,0.039547554,0.070647264,0.12561404,0.053436256,0.2133012,0.33430294,0.4052824,0.12847302,0.0168068,0.152713012,0.3041224
0882a07d2,0.089314116,0.051360994,0.0606764,0.20110642,0.9082096,0.097868448,0.033519566,0.059153288,0.06279115,0.048508778,0.019992512,0.04813621,0.61275578,0.8462428,0.012124015,0.033620254,0.15831504,0.036650658,0.16651628,0.027782624,0.058501076,0.12566062,0.035728354,0.046141762
08aaf51a8,0.172273374,0.79337344,0.09374874,0.39877834,0.10805666,0.11135658,0.144882834,0.08953246,0.17408321,0.36035948,0.134877134,0.074700416,0.17138754,0.100010908,0.082667506,0.6532346,0.048932206,0.08118446,0.08986232,0.15041678,0.3543824,0.091648752,0.080290914,0.74087506
08b58f0b0,0.14440864,0.041080222,0.12870956,0.8334341,0.084779626,0.28133722,0.094564932,0.20587066,0.05192079,0.078771472,0.23719584,0.13561014,0.17793895,0.04545688,0.10681486,0.067470354,0.07114734,0.029989436,0.10773218,0.0537693,0.23993158,0.054312652,0.09978391,0.180455446
08c11ec6e,0.070939708,0.09658024,0.047187126,0.69738884,0.035907978,0.35150992,0.02860258,0.11627436,0.079196608,0.10009254,0.033250756,0.048538208,0.27366344,0.039504724,0.11750982,0.10120312,0.045568634,0.064982564,0.5317707,0.124666632,0.0975996,0.039281446,0.049402976,0.3345592
090d27329,0.036492598,0.05466704,0.023841678,0.3812008,0.032411868,0.08979992,0.032618964,0.5672049,0.051566744,0.049413478,0.03088094,0.2406733,0.038961858,0.027258786,0.099765992,0.30026638,0.05183829,0.114345468,0.048639924,0.05323012,0.20153842,0.036532474,0.039701426,0.8665814
0966a30a3,0.19331262,0.079929054,0.10094713,0.3734422,0.049703678,0.5334572,0.06898128,0.55151624,0.045009884,0.30784812,0.17878511,0.17730466,0.20064178,0.042232684,0.061023224,0.098044324,0.056583744,0.058811284,0.1293906,0.08106085,0.32787444,0.039327014,0.19402231,0.48920512
097c4f536,0.076345354,0.055344356,0.0665767,0.23439748,0.088770694,0.068146974,0.17328031,0.3762007,0.05857262,0.038859924,0.053334534,0.79685282,0.07218282,0.041153238,0.065800328,0.035844656,0.02789976,0.0611878,0.05651256,0.075691848,0.3915382,0.091837872,0.0584525,0.11568876
099b55467,0.043559224,0.056190192,0.03141016,0.2329187,0.053767974,0.13557608,0.11139652,0.44744348,0.11879424,0.148743272,0.22723406,0.6189774,0.046915462,0.024973643,0.10345447,0.053803634,0.087689304,0.8001168,0.050311012,0.060434234,0.26211644,0.058655112,0.093737572,0.6335185
09cf1cd6b,0.090982204,0.043145072,0.015133926,0.524415,0.101671434,0.3271884,0.065434324,0.083657544,0.114939034,0.131541848,0.062567448,0.20400822,0.04760891,0.04727882,0.11083054,0.050342852,0.078604192,0.018688964,0.40281434,0.0922547,0.15139918,0.11122394,0.42176876,0.19398334
09ffed9c0,0.045553216,0.050040912,0.02776697,0.24730022,0.060040646,0.097089254,0.044885776,0.68369116,0.07947136,0.10831788,0.064413654,0.068759328,0.060864252,0.057300252,0.107394766,0.076321864,0.09016515,0.95921392,0.056897152,0.073620086,0.71676064,0.06547512,0.09364542,0.14484831
0a45adab2,0.046267182,0.041588548,0.03355896,0.13253294,0.13525162,0.088774348,0.11996998,0.63267928,0.0840779,0.085269332,0.142236352,0.57899876,0.059071088,0.099136054,0.05964224,0.61176672,0.05798888,0.078022134,0.08105434,0.0561532,0.23778862,0.05014702,0.16565541,0.27984102
0a64c67f8,0.1661288,0.048076144,0.016261338,0.091253752,0.090478886,0.017173884,0.050196772,0.064106572,0.055790412,0.71755014,0.03070544,0.035115678,0.40641866,0.03254704,0.032040078,0.62428046,0.015898897,0.06217665,0.07831776,0.026038292,0.048981816,0.027508554,0.022634855,0.84221324
0a6a36fb6,0.044937196,0.036012172,0.019730331,0.2812234,0.044425514,0.01327793,0.052568012,0.69699416,0.049815938,0.10931151,0.0639159,0.67350254,0.080363732,0.023244628,0.07689542,0.083266532,0.12409164,0.1648541,0.041179692,0.0627682,0.130862654,0.028290656,0.034479076,0.09490086
0a930ca0f,0.097142208,0.039343536,0.11329304,0.66282444,0.075098968,0.30973526,0.11031316,0.22627602,0.06744228,0.084055626,0.102992654,0.15771619,0.23272298,0.029875212,0.091038,0.060544294,0.061373174,0.02911974,0.08356095,0.058822704,0.32412138,0.053161848,0.08393632,0.25999032
0ae65727d,0.07909744,0.04978848,0.049906262,0.23967666,0.142043566,0.68787794,0.25125536,0.12111408,0.045977432,0.15606246,0.19006437,0.30315964,0.147003388,0.049151262,0.10330676,0.037910244,0.08194825,0.030949808,0.29762238,0.05439111,0.176574468,0.05495615,0.24402568,0.35912504
0b13e273c,0.046240726,0.052587992,0.011243366,0.108501292,0.03168264,0.022308188,0.018697602,0.8464296,0.026742222,0.023660226,0.033104396,0.04487937,0.059878636,0.066060174,0.6537191,0.70203814,0.017737353,0.03153014,0.026994974,0.025592502,0.021583528,0.033102772,0.035471162,0.1169533
0b2d25d62,0.04359096,0.1377641,0.05044776,0.52005414,0.055805976,0.07725366,0.06510916,0.047517512,0.047740244,0.09323821,0.024031031,0.057821036,0.112784206,0.098936212,0.081649328,0.79017486,0.9843394,0.19587608,0.07506006,0.13034513,0.081177056,0.16923848,0.020955689,0.052419292
0b3cbd762,0.194853652,0.023912063,0.039505374,0.128175772,0.20340082,0.04916494,0.02634035,0.03727465,0.044454188,0.063716208,0.02285209,0.02470657,0.82421608,0.05977752,0.036441574,0.029215452,0.021146086,0.028047672,0.5250294,0.016610721,0.018043913,0.039939386,0.011183935,0.079170316
0b42e54ab,0.076963496,0.060768104,0.051085526,0.3250884,0.082143188,0.709406,0.08348049,0.12128364,0.064141876,0.17774396,0.16006992,0.19769616,0.2056439,0.069156432,0.08075108,0.06175161,0.091427254,0.1451798,0.13131726,0.0803566,0.109653592,0.042174646,0.1777406,0.50304346
0b7f599cf,0.13746711,0.7095894,0.10798752,0.35333402,0.03913262,0.095740044,0.11260092,0.07165822,0.116647112,0.3643997,0.036110606,0.11778928,0.14367926,0.093623674,0.144544292,0.130996906,0.036605572,0.101685274,0.054733932,0.060121334,0.066121596,0.040261832,0.114931334,0.3638829
0ba908079,0.030068814,0.041502852,0.038836604,0.1733325,0.03056926,0.113932728,0.019234705,0.069552744,0.023233628,0.1290886,0.027723572,0.044202128,0.023712525,0.2610536,0.05783673,0.9866658,0.079508066,0.041776192,0.06529708,0.02330516,0.03467796,0.035462946,0.083702684,0.058594512
0baed3c67,0.061443454,0.040571896,0.074432964,0.5000744,0.1507014,0.14544667,0.058178098,0.13562064,0.105869008,0.082545524,0.11258478,0.058059954,0.44016328,0.037737524,0.28379924,0.066305726,0.042760622,0.178258752,0.0980575,0.033965558,0.4888351,0.05763786,0.24348696,0.82178392
0bcb177ea,0.07364648,0.05229698,0.45083184,0.55722932,0.074446564,0.077815092,0.087520552,0.147632432,0.059847044,0.113354408,0.03891104,0.10619802,0.8174914,0.03888553,0.070000392,0.022308392,0.09948908,0.16811055,0.056102746,0.096561206,0.02840933,0.067000204,0.09592501,0.29656554
0bd8a0e62,0.05334312,0.043742204,0.024780914,0.23740272,0.05361432,0.065629446,0.10105638,0.8471527,0.027159328,0.12562871,0.091723072,0.77083292,0.08050422,0.024734287,0.14984174,0.045927334,0.024419994,0.055661016,0.08071406,0.048077514,0.12668294,0.0506943,0.033911396,0.21097572
0be3a4baa,0.12809878,0.04545344,0.072811664,0.7735035,0.075241346,0.14473268,0.122305394,0.113134528,0.092969096,0.193188692,0.070401824,0.110514868,0.22655638,0.041891384,0.072053534,0.048541468,0.057783716,0.31432924,0.12675408,0.12407144,0.047641436,0.059052492,0.13764574,0.4927723
0c4d6a79e,0.049207292,0.45003576,0.19292376,0.40654712,0.051707744,0.05901606,0.12785076,0.4219841,0.154993772,0.104011632,0.037946386,0.062205392,0.09870492,0.05971472,0.38693852,0.46020312,0.074488628,0.36010782,0.046739066,0.063178914,0.07338202,0.076407636,0.089970774,0.678015
0c5143157,0.11666598,0.25833668,0.067684096,0.4124112,0.22700386,0.10788225,0.038295204,0.55005708,0.112297892,0.03404678,0.0856578,0.147852994,0.151458812,0.05990074,0.2054025,0.05105024,0.09404735,0.0422023,0.044649142,0.026919196,0.36989352,0.090585214,0.035517236,0.24728724
0c7a15b50,0.03778807,0.040435228,0.02423391,0.22493938,0.089925444,0.01454625,0.109998072,0.78339686,0.018247518,0.042130148,0.12062196,0.4402453,0.13724252,0.018731737,0.18802112,0.02671217,0.007222179,0.03499031,0.066310232,0.06063255,0.045362658,0.040519762,0.023641947,0.16646652
0cbcff74d,0.075822508,0.057997644,0.02228423,0.30511888,0.0447852,0.24847004,0.8115944,0.71892934,0.1084242,0.18441586,0.0910185,0.35457278,0.040491434,0.04221077,0.10081098,0.049193528,0.10169561,0.16544131,0.055744576,0.07174843,0.438175,0.057802152,0.125502526,0.46945152
0cc9654d3,0.13524865,0.08873558,0.057285124,0.76848684,0.040774626,0.26317508,0.11647858,0.17862782,0.0649102,0.095322096,0.02402887,0.073489236,0.30891566,0.054659826,0.124702668,0.081157946,0.10635056,0.086200256,0.23936712,0.08237539,0.131571174,0.049351734,0.05878455,0.17877298
0ce6c3971,0.077647972,0.042432404,0.113687134,0.4678193,0.07858462,0.19544854,0.09610902,0.05090444,0.03275991,0.12639756,0.045696694,0.22864186,0.0638378,0.040309418,0.7477129,0.82250308,0.05839991,0.07981,0.07590633,0.045988112,0.1065639,0.08523414,0.04017716,0.071250284
0cff61a28,0.036543184,0.15100075,0.081959748,0.4584557,0.048196232,0.107110072,0.018546946,0.51870474,0.042916736,0.049028024,0.048991778,0.12173891,0.17788684,0.058244986,0.06070976,0.07937435,0.32470154,0.12447284,0.044046832,0.055281132,0.3751331,0.064387632,0.037443104,0.10887692
0d2419e0e,0.2449483,0.19215952,0.019627754,0.15414262,0.053803616,0.0506492,0.046183368,0.074856854,0.14395766,0.170736408,0.031435668,0.053850884,0.66075754,0.10006874,0.0380167,0.74984574,0.04519406,0.030815506,0.4104199,0.029632064,0.023626864,0.068264068,0.04032818,0.190781892
0d999c656,0.047102484,0.068275488,0.078870952,0.1678331,0.10499452,0.13045845,0.33939956,0.20568838,0.055708104,0.045216542,0.40717836,0.40114774,0.11930416,0.0313806,0.17708064,0.055366934,0.51239986,0.29312956,0.13312902,0.111044348,0.17880044,0.041283518,0.13862992,0.14615885
0da661bf4,0.07211256,0.04646051,0.02513282,0.34077608,0.058606506,0.11307019,0.074428516,0.081006766,0.027753526,0.068816656,0.091984826,0.03552405,0.848259,0.037062976,0.04386065,0.030899194,0.077846646,0.041368264,0.72261266,0.082920224,0.047580128,0.067739374,0.042724854,0.91068954
